phase,step,max_steps,lr,loss,loss/raw_sum,loss/weighted_no_reg,loss/total,loss/g_ws,loss/g_red,loss/g_margin,loss/g_self,loss/g_selfpass,loss/g_lim,loss/g_rot,loss/g_man,loss/g_iso,loss/g_sigma,mask/g_red_den,mask/g_margin_den,mask/g_self_den,mask/g_selfpass_den,mask/g_lim_den,mask/g_rot_den,mask/g_man_den,mask/g_iso_den,mask/g_sigma_den,ws_acc,ws_precision,ws_recall,ws_f1,g_red_mae,g_red_rmse,g_margin_mae,g_margin_rmse,g_self_mae,g_self_rmse,g_selfpass_mae,g_selfpass_rmse,g_lim_mae,g_lim_rmse,g_rot_mae,g_rot_rmse,g_man_mae,g_man_rmse,g_iso_mae,g_iso_rmse,g_sigma_mae,g_sigma_rmse
val,2000,50000,,-2.8815312957763672,0.584204613417387,0.584204613417387,,,,,,,,,,,,,,,,,,,,,0.953,0.9634369287020109,0.9789473684210527,0.9711302211302212,0.10789415775437843,0.14787527862200167,0.12453705339977984,0.17052188674226,0.09625260093632866,0.20761077299857775,0.0036428348567832734,0.03453392573443165,0.060515039144285694,0.07781936409538136,0.11184910774092556,0.150322471625548,0.012860026634399183,0.018680917937497443,0.023174676564363502,0.04712422037534594,0.04874369502067566,0.0757105105899119
train,2100,50000,0.0001,-3.0539119243621826,0.4118238389492035,0.4118238389492035,-3.0539119243621826,0.11969009786844254,0.06772401928901672,0.07767453044652939,0.014400473795831203,0.0021742077078670263,0.032137300819158554,0.07891953736543655,0.003028623992577195,0.0020915709901601076,0.013983499258756638,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,,,,,,,,,,,,,,,,,,,,,,
train,2200,50000,0.0001,-3.151503086090088,0.3142327070236206,0.3142327070236206,-3.151503086090088,0.16208647191524506,0.03692285716533661,0.0396292582154274,0.0005011633038520813,1.857224924606271e-05,0.013313613831996918,0.03660289943218231,0.00021009605552535504,0.000739536015316844,0.024208230897784233,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,
train,2300,50000,0.0001,-3.098895788192749,0.36684003472328186,0.36684003472328186,-3.098895788192749,0.11539120972156525,0.07486975938081741,0.055128734558820724,0.005587683524936438,0.014031597413122654,0.01152403187006712,0.058482151478528976,0.00017447180289309472,0.0018203561194241047,0.0298300813883543,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,,,,,,,,,,,,,,,,,,,,,,
train,2400,50000,0.0001,-3.0575358867645264,0.40820011496543884,0.40820011496543884,-3.0575358867645264,0.15443962812423706,0.07015684247016907,0.07047434151172638,0.0005912557826377451,2.9566486773546785e-05,0.036640144884586334,0.03636946156620979,0.0001595298235770315,0.001144783920608461,0.03819453343749046,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,,,,,,,,,,,,,,,,,,,,,,
train,2500,50000,0.0001,-1.908077359199524,1.5576585531234741,1.5576585531234741,-1.908077359199524,0.3791322410106659,0.11507272720336914,0.09898355603218079,0.6923161745071411,9.58501041168347e-05,0.06046206131577492,0.1358996480703354,0.0006293581682257354,0.049884747713804245,0.02518216334283352,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,,,,,,,,,,,,,,,,,,,,,,
val,2500,50000,,-2.8746942698955538,0.5910416431725025,0.5910416431725025,,,,,,,,,,,,,,,,,,,,,0.953,0.9502664298401421,0.9938080495356038,0.9715496368038741,0.09928996075786674,0.13546895207602014,0.12754463466697433,0.17424220509742758,0.0933231640987721,0.19101034872714892,0.0018757484645666354,0.02168830876899838,0.061634219689265864,0.07858627224818727,0.10694209266188713,0.14325546865890285,0.012784065588178465,0.018533430513464226,0.024512779631943156,0.043909177506596606,0.05262011368946394,0.08133718746023313
train,2600,50000,0.0001,-2.851478338241577,0.6142578721046448,0.6142578721046448,-2.851478338241577,0.1302216798067093,0.0443650484085083,0.06353730708360672,0.16755755245685577,2.523491275496781e-05,0.0305912047624588,0.10961736738681793,0.0003441937733441591,0.03417069464921951,0.033827535808086395,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,,,,,,,,,,,,,,,,,,,,,,
train,2700,50000,0.0001,-3.252627372741699,0.2131083905696869,0.2131083905696869,-3.252627372741699,0.024556908756494522,0.050434261560440063,0.05411185324192047,0.0003296793147455901,1.1322430509608239e-05,0.0241591464728117,0.043864715844392776,0.00019646574219223112,0.0007328299689106643,0.014711213298141956,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,,,,,,,,,,,,,,,,,,,,,,
train,2800,50000,0.0001,-3.062286376953125,0.4034496545791626,0.4034496545791626,-3.062286376953125,0.12164653837680817,0.031517453491687775,0.09216698259115219,0.0008421887760050595,7.326105696847662e-05,0.0322270505130291,0.0626622885465622,0.000497934059239924,0.003235083306208253,0.0585809163749218,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,,,,,,,,,,,,,,,,,,,,,,
