phase,step,max_steps,lr,loss,loss/raw_sum,loss/weighted_no_reg,loss/total,loss/g_ws,loss/g_red,loss/g_margin,loss/g_self,loss/g_selfpass,loss/g_lim,loss/g_rot,loss/g_man,loss/g_iso,loss/g_sigma,mask/g_red_den,mask/g_margin_den,mask/g_self_den,mask/g_selfpass_den,mask/g_lim_den,mask/g_rot_den,mask/g_man_den,mask/g_iso_den,mask/g_sigma_den,ws_acc,ws_precision,ws_recall,ws_f1,g_red_mae,g_red_rmse,g_margin_mae,g_margin_rmse,g_self_mae,g_self_rmse,g_selfpass_mae,g_selfpass_rmse,g_lim_mae,g_lim_rmse,g_rot_mae,g_rot_rmse,g_man_mae,g_man_rmse,g_iso_mae,g_iso_rmse,g_sigma_mae,g_sigma_rmse
train,26700,50000,0.0001,-3.1444385051727295,0.32129743695259094,0.32129743695259094,-3.1444385051727295,0.14128977060317993,0.04734904691576958,0.04881475865840912,0.0028086022939532995,6.856100299046375e-06,0.01862979680299759,0.029546333476901054,0.0036583421751856804,0.0028337163385003805,0.02636021189391613,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,,,,,,,,,,,,,,,,,,,,,,
train,26800,50000,0.0001,-3.176287889480591,0.2894478142261505,0.2894478142261505,-3.176287889480591,0.03376549109816551,0.051576219499111176,0.03428462892770767,0.018126361072063446,0.03921261802315712,0.04269376024603844,0.04030102491378784,6.378949910867959e-05,0.0007364446064457297,0.028687473386526108,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,,,,,,,,,,,,,,,,,,,,,,
train,26900,50000,0.0001,-3.3492393493652344,0.11649636179208755,0.11649636179208755,-3.3492393493652344,0.016168473288416862,0.010391632094979286,0.03901846706867218,1.2479747965699062e-05,2.3929322878757375e-07,0.019656993448734283,0.024671783670783043,0.0001546823332319036,0.00024977594148367643,0.006171837914735079,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,,,,,,,,,,,,,,,,,,,,,,
train,27000,50000,0.0001,-3.2473089694976807,0.21842719614505768,0.21842719614505768,-3.2473089694976807,0.024674441665410995,0.033433157950639725,0.02189192920923233,0.04822752997279167,2.053386197076179e-06,0.043607790023088455,0.031397100538015366,0.00021849788026884198,0.008261796087026596,0.006712896283715963,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,,,,,,,,,,,,,,,,,,,,,,
val,27000,50000,,-2.91844313621521,0.5472927851229906,0.5472927851229906,,,,,,,,,,,,,,,,,,,,,0.952,0.9639584605986561,0.9770897832817338,0.9704797047970479,0.10617197047077097,0.14558945721527805,0.12237235211735539,0.18019882741669868,0.06971113929069449,0.1629612145017803,0.0008330994715262493,0.019250727142874527,0.06164974382049159,0.07802498218958595,0.10878943396334309,0.1535051642204359,0.010715047825104773,0.016288568849594957,0.01968882940594257,0.03832209815859823,0.04221952588934647,0.06481823584618861
train,27100,50000,0.0001,-3.271632194519043,0.1941036432981491,0.1941036432981491,-3.271632194519043,0.006797010079026222,0.03572393208742142,0.06316420435905457,0.002047616522759199,6.93763837489314e-08,0.02228989452123642,0.057399943470954895,0.0020778996404260397,0.0004105404659640044,0.00419254507869482,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,,,,,,,,,,,,,,,,,,,,,,
train,27200,50000,0.0001,-3.1861042976379395,0.27963143587112427,0.27963143587112427,-3.1861042976379395,0.11662203818559647,0.01597459800541401,0.05689648911356926,0.022851912304759026,0.018264712765812874,0.008083098568022251,0.030309736728668213,7.909822306828573e-05,0.001158716855570674,0.00939102377742529,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,,,,,,,,,,,,,,,,,,,,,,
train,27300,50000,0.0001,-2.8632891178131104,0.6024467945098877,0.6024467945098877,-2.8632891178131104,0.3408048748970032,0.05257490277290344,0.05578253045678139,0.023511072620749474,1.2841319403378293e-06,0.04069969430565834,0.03444106504321098,0.00012908106145914644,0.02885858714580536,0.025643624365329742,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,,,,,,,,,,,,,,,,,,,,,,
train,27400,50000,0.0001,-2.7686171531677246,0.6971187591552734,0.6971187591552734,-2.7686171531677246,0.2281353622674942,0.03681211918592453,0.09915078431367874,0.0915948823094368,0.001249235006980598,0.050378136336803436,0.07159235328435898,0.00048179287114180624,0.06718584895133972,0.0505383126437664,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,,,,,,,,,,,,,,,,,,,,,,
train,27500,50000,0.0001,-3.24812388420105,0.2176118940114975,0.2176118940114975,-3.24812388420105,0.014774798415601254,0.045453380793333054,0.056656766682863235,0.017613789066672325,1.2583291209011804e-05,0.021577784791588783,0.028958870097994804,0.0001309935178142041,0.0020014282781630754,0.030431494116783142,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,,,,,,,,,,,,,,,,,,,,,,
val,27500,50000,,-2.9676464211940767,0.49808950882405045,0.49808950882405045,,,,,,,,,,,,,,,,,,,,,0.972,0.9727107337780473,0.993188854489164,0.9828431372549019,0.10023335393737344,0.1379056726589979,0.11007509151294874,0.16311500017241332,0.08321978198854547,0.19898474114925482,0.0007354247311689537,0.010268775233817572,0.059973437479775016,0.07860896566127654,0.10471976670687412,0.143476451754659,0.010054242327786267,0.015354378015536836,0.019080547904220896,0.03642121863179684,0.0460191920261265,0.0746003486091836
train,27600,50000,0.0001,-2.789421796798706,0.6763138771057129,0.6763138771057129,-2.789421796798706,0.27019965648651123,0.0894569382071495,0.08773574978113174,0.07038390636444092,4.6610152821813244e-06,0.0449797548353672,0.048538535833358765,0.00020561991550493985,0.038770779967308044,0.026038309559226036,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,,,,,,,,,,,,,,,,,,,,,,
train,27700,50000,0.0001,-3.1983957290649414,0.2673400640487671,0.2673400640487671,-3.1983957290649414,0.09741619974374771,0.04357379674911499,0.05690954998135567,0.0027636464219540358,1.1683647471727454e-06,0.009389589540660381,0.048608940094709396,0.0007938725757412612,0.0004451487911865115,0.007438160944730043,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,,,,,,,,,,,,,,,,,,,,,,
train,27800,50000,0.0001,-2.7814414501190186,0.6842943429946899,0.6842943429946899,-2.7814414501190186,0.4318205416202545,0.057335831224918365,0.056881133466959,0.05582800507545471,2.7883555958396755e-05,0.058491673320531845,0.005530963186174631,1.9921744751627557e-05,0.011210095137357712,0.007148336619138718,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,,,,,,,,,,,,,,,,,,,,,,
train,27900,50000,0.0001,-3.222397804260254,0.24333834648132324,0.24333834648132324,-3.222397804260254,0.08203433454036713,0.04453195258975029,0.03861827775835991,1.8659859051695094e-05,1.59030761892609e-07,0.019426262006163597,0.03416755795478821,5.806426634080708e-05,0.000589379807934165,0.0238936897367239,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,,,,,,,,,,,,,,,,,,,,,,
train,28000,50000,0.0001,-3.2300872802734375,0.23564846813678741,0.23564846813678741,-3.2300872802734375,0.011112108826637268,0.058053240180015564,0.03141876310110092,0.00019512702419888228,2.6350310236011865e-06,0.018810315057635307,0.10039404034614563,0.0008560690330341458,0.0011839237995445728,0.013622237369418144,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,
val,28000,50000,,-2.9433267736434936,0.5224091390520335,0.5224091390520335,,,,,,,,,,,,,,,,,,,,,0.9595,0.9659781287970839,0.9845201238390093,0.9751609935602575,0.09541967247292722,0.13369081002353836,0.11062660184991618,0.16626077161801012,0.09117004087096767,0.20209582789211875,0.002256279131945442,0.03471624558421687,0.05711376945669806,0.07348596555463587,0.0959634354240016,0.1332946240109225,0.010147122851639248,0.015272124238625555,0.018707224528302348,0.03337660345552503,0.04804761620128856,0.06822229346039863
train,28100,50000,0.0001,-3.206282377243042,0.2594536244869232,0.2594536244869232,-3.206282377243042,0.09944064170122147,0.04179346188902855,0.0448836050927639,9.312277143180836e-06,2.0573656911437865e-06,0.022379668429493904,0.04062941297888756,4.563092079479247e-05,0.0006656317855231464,0.009604203514754772,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,,,,,,,,,,,,,,,,,,,,,,
train,28200,50000,0.0001,-3.342914581298828,0.12282144278287888,0.12282144278287888,-3.342914581298828,0.0047715152613818645,0.032885048538446426,0.023740356788039207,0.008727360516786575,0.003159411484375596,0.014751800335943699,0.02597671188414097,0.00011389225983293727,0.0004080789221916348,0.008287273347377777,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,,,,,,,,,,,,,,,,,,,,,,
train,28300,50000,0.0001,-3.0691983699798584,0.3965376913547516,0.3965376913547516,-3.0691983699798584,0.17907293140888214,0.030309520661830902,0.03219413384795189,0.08002564311027527,9.789023351913784e-07,0.02336793579161167,0.03798860311508179,0.00018826854648068547,0.0046929954551160336,0.00869666412472725,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,
train,28400,50000,0.0001,-3.124835729598999,0.3409004211425781,0.3409004211425781,-3.124835729598999,0.15579114854335785,0.03796052560210228,0.07872460037469864,0.001205999287776649,0.00026466944837011397,0.019145388156175613,0.030961327254772186,9.254242468159646e-05,0.000675886170938611,0.016078295186161995,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,,,,,,,,,,,,,,,,,,,,,,
train,28500,50000,0.0001,-3.1832218170166016,0.28251397609710693,0.28251397609710693,-3.1832218170166016,0.03825437277555466,0.057774439454078674,0.04784815385937691,0.00029056132188998163,8.168158274202142e-06,0.04640096798539162,0.045966506004333496,7.727008051006123e-05,0.00131463841535151,0.04457888752222061,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,,,,,,,,,,,,,,,,,,,,,,
val,28500,50000,,-2.906122837662697,0.5596130803227425,0.5596130803227425,,,,,,,,,,,,,,,,,,,,,0.9565,0.9652862362971986,0.9814241486068112,0.973288302118514,0.10169354548026165,0.14115510096298572,0.11115956240025097,0.16127061947926988,0.08772340086591503,0.20583661128960506,0.0016425312119002682,0.021445583210085613,0.0575284040195654,0.0733110213410533,0.10036718911799854,0.13833672666099156,0.011654197702893623,0.018508812568647646,0.02152405962255717,0.04131845217129381,0.04993637369328608,0.07030533170704022
train,28600,50000,0.0001,-3.315873146057129,0.14986293017864227,0.14986293017864227,-3.315873146057129,0.010023572482168674,0.041389163583517075,0.038003917783498764,7.666572855669074e-06,6.799889888498001e-06,0.02195212058722973,0.03426643833518028,2.0743589630001225e-05,0.00030098436400294304,0.0038915101904422045,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,,,,,,,,,,,,,,,,,,,,,,
train,28700,50000,0.0001,-3.1843984127044678,0.2813374996185303,0.2813374996185303,-3.1843984127044678,0.035381559282541275,0.04740123450756073,0.08053350448608398,0.04683079198002815,0.0001238332479260862,0.03347625955939293,0.008214295841753483,3.835739698843099e-05,0.024547390639781952,0.00479028420522809,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,,,,,,,,,,,,,,,,,,,,,,
train,28800,50000,0.0001,-3.1600844860076904,0.3056514859199524,0.3056514859199524,-3.1600844860076904,0.014908269979059696,0.05382292717695236,0.07773540169000626,0.027082014828920364,0.031297922134399414,0.031769413501024246,0.04772385209798813,0.0001984729606192559,0.0011071928311139345,0.02000603824853897,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,
train,28900,50000,0.0001,-3.041290760040283,0.4244449734687805,0.4244449734687805,-3.041290760040283,0.2281099259853363,0.05985019728541374,0.04569761082530022,0.00020851973386015743,0.00011510638432810083,0.03522105515003204,0.01576344110071659,0.00011996291868854314,0.0011451361933723092,0.03821409493684769,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,,,,,,,,,,,,,,,,,,,,,,
train,29000,50000,0.0001,-3.0622966289520264,0.4034392237663269,0.4034392237663269,-3.0622966289520264,0.2381763607263565,0.04614813253283501,0.043611686676740646,4.961133072356461e-06,1.2679512906288437e-07,0.028783248737454414,0.024225644767284393,6.03194821451325e-05,0.0005115003441460431,0.021917250007390976,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,,,,,,,,,,,,,,,,,,,,,,
val,29000,50000,,-2.8911029297113418,0.5746329832077026,0.5746329832077026,,,,,,,,,,,,,,,,,,,,,0.9505,0.9638922888616891,0.9752321981424149,0.9695290858725762,0.10279913109153417,0.13842252131548857,0.12208364180551594,0.17929494604466464,0.08511011727823192,0.18792093361625595,0.0016076607969892284,0.026905241327776205,0.0597707357015403,0.07690498051617659,0.10497425698182163,0.14575386436816395,0.011986565046681339,0.018621655363248148,0.0226873976504286,0.04217969614374864,0.04877544753138126,0.07065394340226516
train,29100,50000,0.0001,-3.128002166748047,0.3377337157726288,0.3377337157726288,-3.128002166748047,0.09364450722932816,0.07055000215768814,0.05488039553165436,0.0006291918107308447,3.0295919373202196e-07,0.0231026541441679,0.06748512387275696,0.0026327576488256454,0.0045158579014241695,0.020292917266488075,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,,,,,,,,,,,,,,,,,,,,,,
train,29200,50000,0.0001,-3.0518434047698975,0.4138926863670349,0.4138926863670349,-3.0518434047698975,0.053477298468351364,0.04325743392109871,0.10991521924734116,0.018228402361273766,5.3875017329119146e-05,0.04439225420355797,0.04913637787103653,0.0002039478422375396,0.0654599517583847,0.02976793423295021,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,,,,,,,,,,,,,,,,,,,,,,
train,29300,50000,0.0001,-3.2687275409698486,0.19700831174850464,0.19700831174850464,-3.2687275409698486,0.09250256419181824,0.024470267817378044,0.026079749688506126,2.466378100507427e-05,1.8814624127116986e-05,0.016454460099339485,0.019568825140595436,7.026815001154318e-05,0.0004236821550875902,0.01739499904215336,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,,,,,,,,,,,,,,,,,,,,,,
train,29400,50000,0.0001,-3.25557541847229,0.21016056835651398,0.21016056835651398,-3.25557541847229,0.048289503902196884,0.04044577479362488,0.02090599201619625,0.02212749794125557,4.3721115616790485e-06,0.018667636439204216,0.04517323151230812,0.0032220666762441397,0.0015977432485669851,0.009726746007800102,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,,,,,,,,,,,,,,,,,,,,,,
train,29500,50000,0.0001,-3.1801071166992188,0.28562870621681213,0.28562870621681213,-3.1801071166992188,0.051025763154029846,0.037645772099494934,0.0699470043182373,0.012369457632303238,1.3471471902448684e-06,0.02998948097229004,0.04522639140486717,0.000246193929342553,0.01998438686132431,0.01919291727244854,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,,,,,,,,,,,,,,,,,,,,,,
val,29500,50000,,-2.9396530318260194,0.5260828659683466,0.5260828659683466,,,,,,,,,,,,,,,,,,,,,0.957,0.9698832206515058,0.9770897832817338,0.97347316471314,0.10016958588048032,0.14181448795857493,0.1115607051934251,0.1659337421927909,0.0745157727700638,0.16707860864526813,0.0018628125589329391,0.028707610185115785,0.05645194603562724,0.07244163849254895,0.09729930116296183,0.13775543947963795,0.010511899887708134,0.015787598000621402,0.020269586978589788,0.038133530947544375,0.046632835951751966,0.06934553723287809
train,29600,50000,0.0001,-2.7881975173950195,0.6775386333465576,0.6775386333465576,-2.7881975173950195,0.010163172148168087,0.030902205035090446,0.043020084500312805,0.46365174651145935,1.001119744614698e-05,0.038587599992752075,0.034637197852134705,4.1823663195827976e-05,0.0420478954911232,0.014476818963885307,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,
train,29700,50000,0.0001,-2.7786734104156494,0.6870623826980591,0.6870623826980591,-2.7786734104156494,0.3720479905605316,0.07824418693780899,0.12879467010498047,5.855092967976816e-05,1.0598882909107488e-05,0.03306233882904053,0.04306141659617424,6.07431611570064e-05,0.00154945719987154,0.0301724374294281,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,,,,,,,,,,,,,,,,,,,,,,
train,29800,50000,0.0001,-3.0793633460998535,0.38637253642082214,0.38637253642082214,-3.0793633460998535,0.02864067442715168,0.09521996229887009,0.10591155290603638,0.0009627307881601155,4.596700819092803e-05,0.04276607185602188,0.07856299728155136,4.767846621689387e-05,0.0014026729622855783,0.032812219113111496,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,
train,29900,50000,0.0001,-3.2006285190582275,0.26510727405548096,0.26510727405548096,-3.2006285190582275,0.04064300283789635,0.07696016132831573,0.04523375630378723,0.005065410863608122,1.0947019291052129e-07,0.02070699632167816,0.06353698670864105,0.0008034119964577258,0.001481792889535427,0.010675626806914806,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,,,,,,,,,,,,,,,,,,,,,,
train,30000,50000,0.0001,-3.197004556655884,0.26873165369033813,0.26873165369033813,-3.197004556655884,0.06869221478700638,0.04466036334633827,0.0497388131916523,0.017971700057387352,1.5285951349142124e-07,0.02463865838944912,0.047992855310440063,0.0022324183955788612,0.0005177148268558085,0.012286749668419361,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,,,,,,,,,,,,,,,,,,,,,,
val,30000,50000,,-2.9438090920448303,0.5219268301874399,0.5219268301874399,,,,,,,,,,,,,,,,,,,,,0.9525,0.9617253948967193,0.9801857585139319,0.9708678319533885,0.09349319953298421,0.12952003250165792,0.10457550259566528,0.15187568141736968,0.0770341215764775,0.1931504399422374,0.002995755096707182,0.04062452950841352,0.05489217515331304,0.07153824987420754,0.09421285911702519,0.1319187984330543,0.011085173671332767,0.01730358495954484,0.02184630457092734,0.04384152603165125,0.049688372855585056,0.06911611128446785
train,30100,50000,0.0001,-3.3396384716033936,0.12609776854515076,0.12609776854515076,-3.3396384716033936,0.01944229193031788,0.034748055040836334,0.019746223464608192,0.0001351100072497502,1.609189780538145e-06,0.008149612694978714,0.040253154933452606,0.0004039824998471886,0.0002922824933193624,0.002925453707575798,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,,,,,,,,,,,,,,,,,,,,,,
train,30200,50000,0.0001,-2.984809637069702,0.4809263050556183,0.4809263050556183,-2.984809637069702,0.23488590121269226,0.05576800927519798,0.08438993245363235,0.0034266666043549776,0.029521320015192032,0.028126530349254608,0.02993004024028778,8.526064630132169e-05,0.0007332593086175621,0.01405936200171709,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,,,,,,,,,,,,,,,,,,,,,,
train,30300,50000,0.0001,-2.9540767669677734,0.5116591453552246,0.5116591453552246,-2.9540767669677734,0.23249857127666473,0.04002000391483307,0.10253449529409409,0.005834605079144239,0.01685483194887638,0.029532983899116516,0.060032621026039124,8.282614726340398e-05,0.01697804592549801,0.00729015888646245,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,,,,,,,,,,,,,,,,,,,,,,
train,30400,50000,0.0001,-3.1629796028137207,0.3027559220790863,0.3027559220790863,-3.1629796028137207,0.04341775178909302,0.05203158035874367,0.06268724799156189,0.051957789808511734,1.5565100284220534e-06,0.039956070482730865,0.007647946011275053,1.9939545381930657e-05,0.03036828339099884,0.014667791314423084,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,,,,,,,,,,,,,,,,,,,,,,
train,30500,50000,0.0001,-3.2252678871154785,0.2404680848121643,0.2404680848121643,-3.2252678871154785,0.011851808987557888,0.05333583801984787,0.059594593942165375,2.013168705161661e-05,4.1568664954638734e-08,0.023870356380939484,0.0739877000451088,0.0029335382860153913,0.0004989506560377777,0.014375124126672745,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,
val,30500,50000,,-2.9439571565389633,0.5217787627130747,0.5217787627130747,,,,,,,,,,,,,,,,,,,,,0.9615,0.9649334945586457,0.9882352941176471,0.9764453961456102,0.09783081384635194,0.13479694608994652,0.10284731259840561,0.15887984794673465,0.08776722585453707,0.20227749750935425,0.0013226018232457778,0.01945055536621274,0.05849687608402949,0.07639174711930925,0.10139277848665929,0.14218782004259548,0.010715792698341626,0.01654526938730784,0.019065032020534157,0.035321002650329676,0.046289884822656495,0.06849262384801001
train,30600,50000,0.0001,-3.2487053871154785,0.2170305997133255,0.2170305997133255,-3.2487053871154785,0.022643297910690308,0.06320900470018387,0.036333683878183365,0.00042569360812194645,6.741790059550112e-08,0.012198468670248985,0.05360271781682968,0.0019475286826491356,0.0018547418294474483,0.02481539361178875,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,,,,,,,,,,,,,,,,,,,,,,
train,30700,50000,0.0001,-3.160916328430176,0.3048197329044342,0.3048197329044342,-3.160916328430176,0.04238804057240486,0.0638982355594635,0.06071915104985237,0.00014734260912518948,1.5754456228478375e-07,0.021502239629626274,0.09538839757442474,0.0019433944253250957,0.0005560747813433409,0.018276717513799667,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,,,,,,,,,,,,,,,,,,,,,,
train,30800,50000,0.0001,-3.2539706230163574,0.21176546812057495,0.21176546812057495,-3.2539706230163574,0.009762529283761978,0.05854127183556557,0.05130936950445175,0.0023438746575266123,1.5591648150348192e-07,0.01367145124822855,0.06575998663902283,0.000710788241121918,0.0015685129910707474,0.008097526617348194,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,,,,,,,,,,,,,,,,,,,,,,
train,30900,50000,0.0001,-3.1947381496429443,0.2709980905056,0.2709980905056,-3.1947381496429443,0.06915482878684998,0.04560995474457741,0.041312601417303085,8.225707460951526e-06,7.2039011911329e-07,0.0476188026368618,0.03190049156546593,0.00015600131882820278,0.0011082864366471767,0.03412817418575287,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,,,,,,,,,,,,,,,,,,,,,,
train,31000,50000,0.0001,-3.083449363708496,0.38228651881217957,0.38228651881217957,-3.083449363708496,0.10064466297626495,0.0750054195523262,0.06781227886676788,0.03178299963474274,0.00012464940664358437,0.04043940454721451,0.010804404504597187,5.984522067592479e-05,0.033133551478385925,0.022479262202978134,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,,,,,,,,,,,,,,,,,,,,,,
val,31000,50000,,-2.949350198507309,0.5163857286423444,0.5163857286423444,,,,,,,,,,,,,,,,,,,,,0.962,0.9655172413793104,0.9882352941176471,0.9767441860465116,0.09564306066132182,0.13326033009492133,0.10805691213984238,0.1620707161684516,0.08686320796470524,0.19401540843735635,0.001006861921434432,0.02007298748772356,0.05815802736917147,0.07588034842345989,0.09757051467203504,0.13527492213821832,0.010480545925974107,0.016061085248724252,0.020379396288110745,0.03787026811795309,0.04902423904407135,0.0679852876895718
train,31100,50000,0.0001,-3.304184675216675,0.16155113279819489,0.16155113279819489,-3.304184675216675,0.00969266053289175,0.03713441640138626,0.03946971893310547,0.018633615225553513,1.1702360325216432e-07,0.011865485459566116,0.036020904779434204,0.0009019649005495012,0.0013257478130981326,0.006506497506052256,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,,,,,,,,,,,,,,,,,,,,,,
train,31200,50000,0.0001,-3.2143027782440186,0.25143328309059143,0.25143328309059143,-3.2143027782440186,0.03460635617375374,0.04744070768356323,0.01830344833433628,0.02901500277221203,3.7553309795157475e-08,0.017369719222187996,0.06412450969219208,0.002895935205742717,0.002081722253933549,0.0355958566069603,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,,,,,,,,,,,,,,,,,,,,,,
train,31300,50000,0.0001,-3.216062068939209,0.2496737390756607,0.2496737390756607,-3.216062068939209,0.029134901240468025,0.05609338730573654,0.05218764767050743,0.020675886422395706,3.8638496846488124e-08,0.026494620367884636,0.0399523600935936,0.0018529408844187856,0.002809208584949374,0.020472750067710876,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,
train,31400,50000,0.0001,-3.0608737468719482,0.4048624634742737,0.4048624634742737,-3.0608737468719482,0.21154192090034485,0.0558449849486351,0.048028554767370224,5.694931678590365e-05,2.0644322376028867e-06,0.02218080498278141,0.036125436425209045,0.000212030005059205,0.001063278061337769,0.02980642020702362,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,
train,31500,50000,0.0001,-3.2586331367492676,0.2071029543876648,0.2071029543876648,-3.2586331367492676,0.07197883725166321,0.02721414342522621,0.044579096138477325,0.0006757879164069891,0.0004971676389686763,0.016038993373513222,0.027132902294397354,4.321421874919906e-05,0.0007870919071137905,0.01815573312342167,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,,,,,,,,,,,,,,,,,,,,,,
val,31500,50000,,-2.9128996270895002,0.552836290821433,0.552836290821433,,,,,,,,,,,,,,,,,,,,,0.949,0.9609993906154783,0.9764705882352941,0.9686732186732187,0.09972743726920787,0.14028250472065643,0.11253854574249256,0.1593910909132384,0.08717170283890362,0.17922750813908087,0.0012590427885852732,0.022354744715102626,0.05582628846168518,0.07182154430548926,0.09850499916925519,0.14115300710799783,0.011135740882944858,0.01729544823295471,0.020310445625807846,0.035218112768104666,0.04909503797628562,0.06909255013891316
train,31600,50000,0.0001,-3.383286237716675,0.08244955539703369,0.08244955539703369,-3.383286237716675,0.0008478310774080455,0.020953983068466187,0.018490629270672798,5.166121627553366e-05,3.5268388387521554e-07,0.009209117852151394,0.019714223220944405,3.054053013329394e-05,0.0004557718348223716,0.012695441953837872,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,,,,,,,,,,,,,,,,,,,,,,
train,31700,50000,0.0001,-3.294053316116333,0.1716829091310501,0.1716829091310501,-3.294053316116333,0.0045494213700294495,0.04501866176724434,0.02844424918293953,0.012705218978226185,1.1554318916751072e-05,0.023852627724409103,0.05217162147164345,0.0009697584318928421,0.0003660391375888139,0.003593777772039175,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,,,,,,,,,,,,,,,,,,,,,,
train,31800,50000,0.0001,-3.2868223190307617,0.17891353368759155,0.17891353368759155,-3.2868223190307617,0.014852113090455532,0.04129237309098244,0.04539569467306137,0.0003479696169961244,1.7109019836425432e-06,0.017975442111492157,0.036939073354005814,2.5701192498672754e-05,0.00037730703479610384,0.021706141531467438,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,,,,,,,,,,,,,,,,,,,,,,
train,31900,50000,0.0001,-3.254821538925171,0.21091456711292267,0.21091456711292267,-3.254821538925171,0.07898557186126709,0.03717941790819168,0.02300986275076866,0.004374472424387932,0.0014972013887017965,0.013860350474715233,0.04047607257962227,0.0012405825546011329,0.0008590301731601357,0.009432020597159863,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,,,,,,,,,,,,,,,,,,,,,,
train,32000,50000,0.0001,-3.2248804569244385,0.2408556193113327,0.2408556193113327,-3.2248804569244385,0.05215095356106758,0.045446522533893585,0.052293870598077774,1.4118983017397113e-05,7.190498649833899e-07,0.03481605648994446,0.027310404926538467,4.8239198804367334e-05,0.001236812211573124,0.027537928894162178,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,,,,,,,,,,,,,,,,,,,,,,
